,Year,State Name,Dist Name,Total_Area_ha,Total_Yield_t_per_ha
9245,2011,Haryana,Jind,511700.0,3.5844049247606025
9246,2012,Haryana,Jind,515639.9999999999,3.1347839578000154
9247,2013,Haryana,Jind,529080.0000000001,3.189668859151734
9248,2014,Haryana,Jind,510940.00000000006,2.84992367009825
9249,2015,Haryana,Jind,542609.9999999999,2.847809660713957
9250,2016,Haryana,Jind,506550.0,3.533807126641003
9251,2017,Haryana,Jind,502370.00000000006,3.604454883850548
9252,1966,Haryana,Mahendragarh / Narnaul,396890.0,0.35022298369825394
9253,1967,Haryana,Mahendragarh / Narnaul,503380.0,0.48889506933132026
9254,1968,Haryana,Mahendragarh / Narnaul,434190.00000000006,0.453718418204012
9255,1969,Haryana,Mahendragarh / Narnaul,444010.0,0.5898515799193711
9256,1970,Haryana,Mahendragarh / Narnaul,462030.0,0.5345973205203125
9257,1971,Haryana,Mahendragarh / Narnaul,490219.99999999994,0.5201746154787646
9258,1972,Haryana,Mahendragarh / Narnaul,604290.0000000002,0.46798722467689324
9259,1973,Haryana,Mahendragarh / Narnaul,601900.0,0.6035886359860441
9260,1974,Haryana,Mahendragarh / Narnaul,585660.0,0.41013557354096236
9261,1975,Haryana,Mahendragarh / Narnaul,618129.9999999998,0.6966172164431433
9262,1976,Haryana,Mahendragarh / Narnaul,578520.0,0.764882804397428
9263,1977,Haryana,Mahendragarh / Narnaul,621669.9999999999,0.5863239339199254
9264,1978,Haryana,Mahendragarh / Narnaul,605100.0,0.8529168732440917
9265,1979,Haryana,Mahendragarh / Narnaul,496400.0000000001,0.5427074939564867
9266,1980,Haryana,Mahendragarh / Narnaul,609319.9999999999,0.7662640320357121
9267,1981,Haryana,Mahendragarh / Narnaul,647280.0000000001,0.6689531578296872
9268,1982,Haryana,Mahendragarh / Narnaul,584230.0,0.6973281070811154
9269,1983,Haryana,Mahendragarh / Narnaul,646029.9999999999,0.7053851988297759
9270,1984,Haryana,Mahendragarh / Narnaul,631349.9999999999,0.640057020669993
9271,1985,Haryana,Mahendragarh / Narnaul,680679.9999999999,0.7998912851854031
9272,1986,Haryana,Mahendragarh / Narnaul,653509.9999999999,0.6486511300515679
9273,1987,Haryana,Mahendragarh / Narnaul,475620.0000000001,0.8029519364198309
9274,1988,Haryana,Mahendragarh / Narnaul,758430.0,1.3417981883628023
9275,1989,Haryana,Mahendragarh / Narnaul,725669.9999999999,1.2338804139622694
9276,1990,Haryana,Mahendragarh / Narnaul,688140.0,1.3476763449298106
9277,1991,Haryana,Mahendragarh / Narnaul,683849.9999999999,1.2403012356510934
9278,1992,Haryana,Mahendragarh / Narnaul,722740.0,1.321595594542989
9279,1993,Haryana,Mahendragarh / Narnaul,682969.9999999999,1.4590831222454872
9280,1994,Haryana,Mahendragarh / Narnaul,725949.9999999999,1.7095392244644951
9281,1995,Haryana,Mahendragarh / Narnaul,738249.9999999999,1.41804266847274
9282,1996,Haryana,Mahendragarh / Narnaul,783139.9999999999,1.6398728196746437
9283,1997,Haryana,Mahendragarh / Narnaul,765620.0000000001,1.2111752566547374
9284,1998,Haryana,Mahendragarh / Narnaul,818800.0,1.4974719101123593
9285,1999,Haryana,Mahendragarh / Narnaul,790930.0,1.5763215455223598
9286,2000,Haryana,Mahendragarh / Narnaul,789719.9999999999,1.5408499214911617
9287,2001,Haryana,Mahendragarh / Narnaul,850790.0000000001,1.6095276155102904
9288,2002,Haryana,Mahendragarh / Narnaul,733889.9999999999,1.3749608251917866
9289,2003,Haryana,Mahendragarh / Narnaul,874870.0000000001,1.7690856927314913
9290,2004,Haryana,Mahendragarh / Narnaul,890129.9999999999,1.3037533843371194
9291,2005,Haryana,Mahendragarh / Narnaul,898769.9999999999,1.3587903468073035
9292,2006,Haryana,Mahendragarh / Narnaul,862329.9999999998,1.6596894460357405
9293,2007,Haryana,Mahendragarh / Narnaul,849950.0,1.5887875757397494
9294,2008,Haryana,Mahendragarh / Narnaul,831990.0,2.0393995120133654
